nodo_id,tipo,nombre,grado,grado_ponderado,pagerank,betweenness_gc,closeness_gc
UC_NRVt2UP88ZNTwzrZ66JSg,autor,@aditalissethevasquezrojas8039,1,1,0.002849002849002849,0.0,0.0
UCylqlpsh8ENNM1LqgQ1KbxA,autor,@Jel.Awesh.M,2,3,0.003458091522566622,0.0,0.30448717948717946
UCRvPToDkkumha7WJAfCDk1A,autor,@ligiaguerra3057,1,1,0.0015012876402744307,0.0,0.21396396396396397
UCPZueDLrCS4BmTBRMA4q0fA,autor,@kevinochoa3695,1,1,0.0012735810348890398,0.0,0.20955882352941177
UCHMQ_lDhibZ-XZ_3fo6oxwg,autor,@crislexrubi4387,1,1,0.0015921333404745244,0.0,0.0
UC7dadZG7kkGYnsNu6td0FbA,autor,@lesolorzano,1,1,0.0015012876402744307,0.0,0.21396396396396397
UCrJn_rbo_ENAdeqneS-RmRw,autor,@josecarrera9623,1,2,0.0021930837660868027,0.0,0.27246653919694075
UCFFrEmn6lPYiWyElpfzTy5Q,autor,@denilsonlopez4083,1,1,0.0016244245455000737,0.0,0.1520811099252935
UCNiMNUJvaRJb0_QLClqwVnA,autor,@Santiago.Nolasco,1,1,0.0018670735454650957,0.0,0.0
UCs_5qeqdku9tGAq22y3OcuQ,autor,@alexandrevasquez4135,1,1,0.0015921333404745244,0.0,0.0
UCCBYcToQ2dwkd6TJh0FSyDg,autor,@lidiarodriguez3493,1,1,0.0015012876402744307,0.0,0.21396396396396397
UCxcoDvP-g2_KTZDmVZtvb3w,autor,@angelmartinez9523,1,1,0.0015133016567510666,0.0,0.15175718849840256
UCW-JC6lebVmf2P1dmY_L94g,autor,@dinoraoroxon5771,1,1,0.0015012876402744307,0.0,0.21396396396396397
UCgJNFj5dnxXpcMvmuhZDPxA,autor,@NataliaRodriguez-rx5mr,1,1,0.0015012876402744307,0.0,0.21396396396396397
UCFoIAE8k82D6AV-8gjjKaNg,autor,@eddymunoz9789,1,1,0.0013102170967186151,0.0,0.27246653919694075
UCe8JZoYkX5oKUZyivHYdXhw,autor,@FernandoGarcia-jg1fj,1,1,0.0015012876402744307,0.0,0.21396396396396397
UCnU8wO1OurAmGstDw6VGjgQ,autor,@cmorera21,1,1,0.0013678165077211383,0.0,0.20622286541244572
UCf5lnNZF7Qrtli9v4N_23WQ,autor,@CarlosCortez-v5r,1,1,0.0012735810348890398,0.0,0.20955882352941177
UCW80DaMjQlEUibC98Cot-Dg,autor,@rogeraldana4289,1,1,0.0015012876402744307,0.0,0.21396396396396397
UCDrmf9y9nLgFY5wnA2hTuGA,autor,@laboratorio5528,1,1,0.0015012876402744307,0.0,0.21396396396396397
UCTD6q1nyIe3Y7HhqjaMj72w,autor,@JuanChang-r6k,1,1,0.0013102170967186151,0.0,0.27246653919694075
UC0aEyakBPqcBkVJiErfSupQ,autor,@jhonymanuel9891,1,1,0.0015921333404745244,0.0,0.0
UC650pRT-OYzny3GwOH8Cgfw,autor,@edvinparedesherrera7632,1,1,0.0013102170967186151,0.0,0.27246653919694075
UCWoAVGVqCn4xtINCMOTM4jg,autor,@OmarMartinez-vv8re,1,1,0.0015012876402744307,0.0,0.21396396396396397
UCDPWkUX3sNNaCx-m1dV4glA,autor,@hectoroliva949,1,1,0.0013102170967186151,0.0,0.27246653919694075
UCsGoJEvb-cFPZ2rWoJcXzEQ,autor,@sergiohinestroza9709,1,1,0.0015012876402744307,0.0,0.21396396396396397
UCXXh7yg5KUFIWylTiKVEFKQ,autor,@MrDuenderojo,1,2,0.0021930837660868027,0.0,0.27246653919694075
UCfM3nrxtTQMY5jFx1v1J4Gg,autor,@edgarroldan5539,1,1,0.0013102170967186151,0.0,0.27246653919694075
UCp4iw5_5SmV9VGTFSNVGOmQ,autor,@CARLOSSTREMS51,1,1,0.0013102170967186151,0.0,0.27246653919694075
UCIp19h9igblA2YKfSLPDAug,autor,@JoseReyes-rn6sh,1,1,0.0015921333404745244,0.0,0.0
UCwha8rxULYMVtNwZWeSkE1A,autor,@mariasamo8637,1,1,0.0013102170967186151,0.0,0.27246653919694075
UCHbwIx9pmQuf7i-4_xO2EpA,autor,@caminoseternos752,1,1,0.0015012876402744307,0.0,0.21396396396396397
UCu8_3-Wg-YzNyvHYQDEscfw,autor,@RolandoCastroPérez-d7y,1,1,0.0015012876402744307,0.0,0.21396396396396397
UCIgoiXdIKJyUGmUoH2Lxdzg,autor,@susievidal4134,1,1,0.0012806576023992745,0.0,0.0
UCXN2s7DwTJm33xO-pNkAdaA,autor,@edithsan7688,1,1,0.0014900677837631298,0.0,0.12566137566137567
UCgLrWFdYitoP-b7-PxtUr-w,autor,@zetag,1,1,0.0015921333404745244,0.0,0.0
UCAKuKvcbfnBD3kF5njNu-IA,autor,@melvinlopez7096,1,1,0.0015012876402744307,0.0,0.21396396396396397
UCFxE8GbokBrBsPEKM1xrOjQ,autor,@JuanDavila-qd7qj,1,1,0.0013102170967186151,0.0,0.27246653919694075
UCk4O-J1BhoqPmig1KLGJePA,autor,@lazarobarillas3575,1,1,0.0016244245455000737,0.0,0.1520811099252935
UCUoYsrx1oZnCZ0usbBJn4fA,autor,@AnaDiaz-re9sq,1,1,0.0015012876402744307,0.0,0.21396396396396397
UCHu8x4MVkayU6VgwVKd--MQ,autor,@Hernandez-i1o,1,1,0.001594478004275582,0.0,0.17947103274559195
UC-jS_kA9w-OmpupXDx156Rg,autor,@simoncreyesc7579,1,1,0.0013102170967186151,0.0,0.27246653919694075
UChT7pzGytNd92Nmvi-zuWog,autor,@sparkvalkov,1,1,0.0015133016567510666,0.0,0.15175718849840256
UChZknRmJkeGeQk0-mQuhDOg,autor,@OdilioRodríguez-c5w,1,1,0.0013102170967186151,0.0,0.27246653919694075
UCOARn3hnfkB7-_Rwa8Hoqcw,autor,@nicelol5241,1,1,0.0015691590271952158,0.0,0.15015806111696522
UC9Wp6vL5oCU37qC3Aj94WZA,autor,@ManuelSanchez-b8q2z,1,1,0.001594478004275582,0.0,0.17947103274559195
UCIXLDYqR_syskKRJy_x9W9Q,autor,@carlitosramirez4739,1,1,0.0014900677837631298,0.0,0.12566137566137567
UCYN4wSQ1Sx4_LurxLlW7MPg,autor,@belarminavillatoro6474,1,1,0.0013102170967186151,0.0,0.27246653919694075
UCTTILH6QCIxbTnEWxwRqs1g,autor,@3762Jorge,1,1,0.0015133016567510666,0.0,0.15175718849840256
UC5bG9nc_JV3FsNP2KseQiYw,autor,@giovannirodas4836,1,1,0.0013102170967186151,0.0,0.27246653919694075
UCKDR0f2fu2UzWL8mBv5-BHw,autor,@mireyamorales6595,1,1,0.0013102170967186151,0.0,0.27246653919694075
UCbYoNG5J3Au5BqtbXogfEFw,autor,@Luis-gn3fj,1,1,0.0012735810348890398,0.0,0.20955882352941177
UCl0ekS9Tt0jJGtOEM18S63w,autor,@monkchapin,1,1,0.0013102170967186151,0.0,0.27246653919694075
UCVQf0tzL7xRzFJsABVVULpg,autor,@DennisseLopetegi,1,1,0.0012735810348890398,0.0,0.20955882352941177
UCsSXdJct-nsS8DsABoEsaYA,autor,@IvánPérez-j4j,1,1,0.0013102170967186151,0.0,0.27246653919694075
UC9xr9QvIcDvoZNUX5f-jaZw,autor,@MariaaliciaColonmorales,1,1,0.0013102170967186151,0.0,0.27246653919694075
UCpl8rF8uv_8uui-QRvuJaRA,autor,@SergioGarcia-z9c,1,1,0.0013102170967186151,0.0,0.27246653919694075
UClhMWQ7XKWywYvbRnuf8QsA,autor,@EcPerez-zz9oh,1,1,0.0015012876402744307,0.0,0.21396396396396397
UC4kg7zuTfqQKLd2bkZrSYBA,autor,@zoilagarcia9019,1,1,0.0016244245455000737,0.0,0.1520811099252935
UCbNanjFI51cwGqMAb2rOrBw,autor,@RosaMontesdeOca777,1,1,0.0012806576023992745,0.0,0.0
UC2weSE8rpqkGMOp6StYtVfg,autor,@katerynsantiago2907,1,1,0.0013102170967186151,0.0,0.27246653919694075
UCyzf29IYjNw67gGIfsjgtxA,autor,@carlosoliva9249,1,1,0.0015921333404745244,0.0,0.0
UCaT6M2zp7X6r6Whd8Vv3kHQ,autor,@alexarcos8349,1,1,0.0015921333404745244,0.0,0.0
UC3NMzdMYryaw82kPTnsaljg,autor,@marisosa7832,1,1,0.0013102170967186151,0.0,0.27246653919694075
UCSou6a2OuYGSvPjm5psquyA,autor,@FranciscoRivera-sf7ne,1,1,0.0013102170967186151,0.0,0.27246653919694075
UCtNyHmRZtvGF2hSvI2dUBWw,autor,@aureliomaldonado4793,1,2,0.002119811642427652,0.0,0.20955882352941177
UCGqKxQS-z3NZzZF-2w338AA,autor,@samuelaguilar529,1,1,0.0015921333404745244,0.0,0.0
UCXO1BBohNWXkK9SBDAG2ySg,autor,@JBFlute92,1,1,0.0015133016567510666,0.0,0.15175718849840256
UChyps3dqY-VY1_wLeq-2lhw,autor,@maydamorales4395,1,1,0.0012314659094801788,0.0,0.16285714285714287
UCXgr7vXlRrsaskPdo097kGA,autor,@Rogergh-nw4oj,1,1,0.0013102170967186151,0.0,0.27246653919694075
UC4cXueR2bKGFJV0Fk76gwmA,autor,@aluxdel4792,1,1,0.0013102170967186151,0.0,0.27246653919694075
UCmvOgzmmXbjUthHy-WJ52hQ,autor,@mariorodas593,1,1,0.0013102170967186151,0.0,0.27246653919694075
UC6xI_MOaxajIWpoP8BH6E_Q,autor,@jahirdiaz5862,1,1,0.002849002849002849,0.0,0.0
UCtMBF_1O2jY2INlb_luuB_A,autor,@mynorgudiel8646,1,1,0.0015921333404745244,0.0,0.0
UCrqXyRsg-_hTosURZ-uvoKg,autor,@flornolberto2425,1,1,0.0012806576023992745,0.0,0.0
UCGZMgmM92E3njyXNe9-kjAQ,autor,@pasionpornada,1,1,0.0012806576023992745,0.0,0.0
UCOY3XpD9qMCRSA8AA8c4CAw,autor,@franciscorodas9686,1,1,0.0015133016567510666,0.0,0.15175718849840256
UCfRqgt2O-vjzUDMZY_tnxQw,autor,@Williams-Garcia67E,1,1,0.0016244245455000737,0.0,0.1520811099252935
UCjJf-AJKRFFWtiN-CSwkDmA,autor,@2jose82,1,1,0.0013678165077211383,0.0,0.20622286541244572
UCBtB5dIyx-C16UN8ClUD2UA,autor,@alexmonzon4257,1,1,0.0016244245455000737,0.0,0.1520811099252935
UCDUffaruH6dyUnUGwsTKpgg,autor,@luisletona2842,1,1,0.0013102170967186151,0.0,0.27246653919694075
UCgGqw4aqMdMVSGkKiMgrJRQ,autor,@pattyfigueroa5609,1,1,0.0012314659094801788,0.0,0.16285714285714287
UC32oozucwCF3q8d4m8fyOUg,autor,@RauldejesusOlivagonzalez,1,1,0.0015012876402744307,0.0,0.21396396396396397
UCvApqeCbLod-wejtT4CcVuA,autor,@davidgaher9550,1,1,0.0013102170967186151,0.0,0.27246653919694075
UCHGd14aYuZZShLD73dkk6mg,autor,@noemiherrera3152,1,1,0.0019761768014137345,0.0,0.0
UCiMythXHsw7eQEMykCdmMUA,autor,@JavierBecerra-h6x,1,1,0.0013102170967186151,0.0,0.27246653919694075
UC-fiZBS5Gp1eCJd9ucgWnCg,autor,@Tommii.10,1,1,0.0015012876402744307,0.0,0.21396396396396397
UC5PrBbmUlQolwqmiru7yZhw,autor,@lazarochavez8269,1,1,0.001594478004275582,0.0,0.17947103274559195
UC094EFEmMSdwVa8NQjjYBXg,autor,@CelestinoQuej-j7k,1,1,0.001594478004275582,0.0,0.17947103274559195
UCGm3gRBEHGRJYmtCryZLtDw,autor,@JoséLopez-g6k,1,1,0.001594478004275582,0.0,0.17947103274559195
UCwUAv3_LpWVtTIi7lkmTL7A,autor,@kingr4706,1,1,0.0015921333404745244,0.0,0.0
UC5wuDq3U3vRAhOQI3D7gNdw,autor,@allanreneramirezgonzalez534,1,1,0.0013678165077211383,0.0,0.20622286541244572
UCsJJAvrVGupdmhOqgtDp8dg,autor,@nestorlorenzana1168,1,1,0.0013102170967186151,0.0,0.27246653919694075
